disc,high,jave,long,pole,shot,X100,X110,X1500,X400
49.28,2.27,61.32,7.43,4.7,15.48,32.0,26.17,20.08,29.45
44.36,1.97,61.76,7.45,5.1,14.97,33.12,27.39,19.78,30.18
43.66,1.97,64.16,7.44,5.2,14.2,32.2,26.74,20.52,29.82
44.8,2.03,64.04,7.38,4.9,15.02,33.9,26.9,18.94,29.35
41.2,1.97,57.46,7.43,5.2,12.92,32.67,27.5,21.04,30.35
43.06,2.12,52.18,7.72,4.9,13.58,33.24,27.93,19.7,29.79
41.68,2.06,61.6,7.05,5.7,14.12,32.2,27.52,18.54,29.19
41.32,2.0,63.0,6.95,4.8,15.34,32.58,27.58,20.31,29.87
42.36,2.03,66.46,7.12,4.9,14.52,32.29,27.01,20.03,29.3
48.02,1.97,59.48,7.28,5.2,15.25,32.06,26.83,18.48,29.63
41.86,1.97,66.64,7.45,4.8,15.34,32.91,27.79,18.25,28.83
42.76,1.94,65.84,7.34,4.7,14.48,32.2,26.21,21.03,29.38
39.54,2.06,56.8,7.29,5.0,12.92,32.67,26.51,20.94,29.86
43.88,1.97,66.54,7.37,4.3,13.61,32.76,26.94,20.08,30.11
41.66,1.97,64.0,7.45,4.7,14.2,32.64,25.65,20.19,29.42
43.2,2.03,57.18,7.08,4.9,14.51,32.46,26.79,20.11,28.86
50.66,2.0,72.6,6.75,4.8,16.07,31.41,24.66,17.86,28.08
46.66,1.94,60.2,7.0,4.9,16.6,31.11,26.4,18.88,28.89
40.38,1.94,51.5,7.04,4.5,13.41,32.52,26.47,20.58,30.02
45.32,1.79,60.48,7.07,4.9,15.84,33.06,25.75,19.44,28.99
38.82,1.94,67.04,7.36,4.6,13.93,31.25,25.32,20.27,28.81
39.08,2.03,60.92,7.02,4.7,13.8,31.33,26.02,20.54,28.46
46.34,2.0,55.68,7.08,4.4,14.31,31.63,26.45,19.8,28.66
38.72,2.15,54.34,6.97,4.6,13.23,31.86,25.75,19.44,28.81
38.06,2.03,52.82,7.23,4.5,13.15,32.73,26.47,18.91,28.96
37.52,2.06,55.42,6.83,4.6,11.63,31.77,25.73,19.99,29.77
38.04,1.82,49.52,6.98,4.7,12.69,32.43,26.17,20.62,29.61
45.84,1.94,56.28,7.01,4.6,14.17,31.28,26.09,17.81,28.15
38.02,1.88,52.68,6.9,4.4,12.41,31.97,25.37,19.85,29.85
42.32,1.82,53.5,7.09,4.5,12.94,31.3,25.45,18.38,29.23
46.18,1.91,57.84,6.22,4.6,13.98,31.5,24.94,18.31,28.1
38.72,1.94,57.26,6.43,4.0,12.33,31.39,26.4,18.38,28.63
34.36,1.91,54.94,7.19,4.1,10.27,31.11,24.44,20.0,28.4
